Description,Spam
"Subject: re : 6 . 217 sum : multimodal reference

reference multimodal reference : 1 . 's rohinus sriharus 's piction project : web , url : http : / / www . cedar . buffalo . edu / piction / : govindaraju , venu ; sher , david b . ; sriharus , rohinus k . ; & sriharus , sargur n . ( 1989 ) , ` ` locate human face newspaper photograph , ' ' _ proceeding cvpr _ : 549 - - 554 . govindaraju , venu , & sriharus , rohinus k . ( 1990 ) , ` ` recognize face photo database , ' ' _ advance image _ 5 : 22 - - 26 . sriharus , rohinus k . ( 1991a ) , ` ` piction : system caption label human face newspaper photograph , ' ' _ proceeding 9th national conference artificial intelligence ( aaai-91 , anaheim ) _ ( aaai press ) : 80 - - 85 . rohinus k . sriharus ( 1991b ) , ` ` extract visual information text : using caption label face newspaper photograph , ' ' _ technical report 91-17 ( buffalo : suny buffalo department computer science _ . sriharus , rohinus k . ( 1993a ) , ` ` intelligent document understand : understand photo caption , ' ' _ proceeding international conference document analysis recognition ( icdar-93 , tsukuba city , japan ) _ , sriharus , rohinus k . ( 1993b ) , ` ` collateral text understand photo document , ' ' _ proceeding conference apply imagery pattern recognition ( aipr / spie , washington , dc ) _ , sriharus , rohinus k . , & rapaport , william j . ( 1989 ) , ` ` extract visual information text : using caption label human face newspaper photograph , ' ' _ proceeding 11th annual conference cognitive science society ( ann arbor , mi ) _ ( hillsdale , nj : lawrence erlbaum associate ) : 364-371 . sriharus , rohinus k . , & rapaport , william j . ( 1990 ) , ` ` combine linguistic pictorial information : using caption interpret newspaper photograph , ' ' d . kumar ( ed . ) , _ current trend sneps - - semantic network process system _ , _ lecture note artificial intelligence , . 437 _ ( berlin : springer - verlag ) : 85-96 . 2 . multimodal interface , : author = "" neal , j . g . bettinger , k . e . byoun , j . s . dobe , z . thielman , c . y . "" , = 1988 , title = "" intelligent multus - medium human - computer dialogue system "" , booktitle = "" proceeding workshop space , operation , automation , robotic , ( soar88 ) "" , publisher = "" wright state university , dayton , oh "" author = "" neal , j . g . dobe , z . bettinger , k . e . byoun , j . s . "" , = 1988 , title = "" medium - modual reference human - computer dialogue "" , booktitle = "" proceeding seventh national conference american association artificial intelligence "" , publisher = "" morgan kaufmann "" , pages = "" 819-823 "" author = "" neal , j . g . thielman , c . y . funke , d . j . byoun , j . s . "" , = 1989 , title = "" multus - modal output composition human - computer dialogue "" , booktitle = "" proceeding 1989 ieee ai system government conference "" , address = "" george washington univ . , wash . d . c . "" , publisher = "" ieee "" , pages = "" 250-257 "" } author = "" neal , j . g . thielman , c . y . dobe , z . haller , s . m . shapiro , s . c . "" , = 1989 , title = "" natural language integrate deictic graphic gesture "" , booktitle = "" proceeding darpa speech natural language workshop "" , publisher = "" morgan kaufmann "" , author = "" neal , j . g . thielman , c . y . dobe , z . haller , s . m . glanowskus , s . shapiro , s . c . "" , = 1989 , title = "" { cubricon } : multus - modal user interface . { p } resent { gis / lis } ' 89 { c } onference "" , address = "" orlando , florida "" , author = "" jeannette g . neal stuart c . shapiro "" , = 1991 , title = "" intelligent multus - medium interface technology "" , booktitle = "" intelligent user interface "" , editor = "" joseph w . sullivan sherman w . tyler "" , publisher = "" addison wesley "" , address = "" read , ma "" , pages = "" 11-43 "" } = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = william j . rapaport associate professor computer science adjunct professor philosophy center cognitive science 226 bell hall | phone : ( 716 ) 645-3180 x 112 department computer science | fax : ( 716 ) 645-3464 suny buffalo | email : rapaport @ c . buffalo . edu buffalo , ny 14260 | web : http : / / www . c . buffalo . edu
",no
"Subject: re : 6 . 221 sum : progressive future reference

7 : 39 pm 2 / 15 / 95 - 384 , linguist list write : ) deat : wed , 15 feb 1995 19 : 7 : 0 - 256 ) : bertinet @ sn . ( bertinetto ) ) subject : sum : progressive future reference ) ) ago post query concern possible existence ) language morpheme express notion "" progressive "" ) future reference , english : ) - leave tomorrow . ) coexistence progressive future adverbial decisive ) factor . ' m sorry miss original request pier marco . albanian seem same feature . progressive form , both present imperfect past , put particle [ po ] front verb . particle same form verb . example ^ ^ ^ ^ ^ ^ ^ ^ 1 . progressive create : ( "" po "" equivalent suffix "" - ing "" english ) ) aus po ecte [ - ing walk ( past imperfect ) ] b ) ne po ecim [ - ing walk ( present ) ] 2 . every verb combine future adverbial ( depend semantic feature verb tense - present ) ) po vus neser [ - ing ( 1st person sg ) tomorrow ] b ) po shkojme pa nje ore [ - ing ( 1st person pl ) one hour ] anything clear , please , let . am aleksander murzaku microlytic , inc . two tobey village office park - - pittsford , york 14534 tel . 716 248 9150 ext . 118 fax . 716 248 3868 e - mail : amurzaku @ microlytic . com www :
",no
"Subject: query icelandic

anyone tell anything whether vp - ellipsis icelandic ? somethe : want movie , john want , too . kind ellipsis phenomenon ? borrow john 's book , mary borrow bill 's . want fix car , n't . suggest check through modern icelandic volume syntax semantic series book , please specific reference , yet anything ellipsis phenomenon . please reply directly : ( laurenco @ uconnvm . bitnet ) thank advance ! elizabeth laurencot , university connecticut
",no
"Subject: summary : word

dear netter , post several query few month ago . ten member linguist list answer e-mail . must show great thanks especially prof . welchsler , prof . jewett , prof . edward ( send example iow london - lund corpus ) , prof . patriki , prof . spackman , prof . macraki , prof . alvarez - caccamo , prof . harri , prof . huettner , dr . georgium green ( introduce "" two type convention indirect speech act "" j . l . morgan , contain volume : _ syntax semantic , vol . 9 : pragmatic _ edit peter cole ( 1978 , york : academic press ) . follow own summary . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * summary , propose hearer 's implicature / implication - interpretation process ( prof . alvarez - caccamo 's suggestion ) , constrain word ( iow ) english . distinguish between speaker 's intend implicature hearer 's interpret implicature . thus , speaker intention implicate x , hearer b fail recognize implus - cature else interpret . even b correctly interpret 's intention , b 's interpretation depend largely upon context / background assumption . iow case . dictionary edit ball ( 1986 ) call usage "" inferential function "" , though term rather informally dictionary . follow terminology sake convenience . inferential iow frequently occur between two 's dialogue . ( 1 ) : ' m afraid n't much help . b : _ word _ , n't want bother . although interpretation process ( 1 ) close call "" conventional "" , . e . process spontaneously , without inferential process hearer 's mind , b guess 's real intent , directly infer 's utterance , indirect - ly 's implicature . order b necessitate iow , b exploit / background assumption / encyclopedic knowledge , implicate busy , n't feel ease b . let implicature explain c , sequential flow consciousness / inferential process $ @ "" * ( jc $ @ "" * ( jb emerge . iow visible index hearer 's implicature-interpretation process . speaker / hearer 's background assumption vary between common sense knowledge valid between speaker hearer . ( 2 ) : love schubert 's late piano sonata . b : _ word _ , n't beethoven sonata ? iow ( 2b ) derive restrict set background assumption b already admire beethoven sonata . b assume admirer beethoven , contrary b 's assumption declare admiration schubert . , b feel criticism 's word . b 's background assumption become old information , conflate 's information enable iow create = b . "" non - conventional "" , rather complicate iow follow . ( 3 ) : ' m kill . b : _ word _ , 'd move car . example , b 's car stand 's car , infuriate b . situation above utter harsh word ; kill . 's real intent , case implicature / implication , "" ' m kill n't move car "" , simply "" move car "" , label c again . b , begin iow , paraphrase c b 's own word . again order b iow , h / must infer assume / implicate c . background assumption mitigate b 's process effort . , b process too much effort cannot interpret 's word . b 's job here process flow dialogue $ @ "" * ( jc $ @ ! ( jb . b 's failure process / infer flow dialogue sometime occur . ( 1 ' ) : ' m afraid n't much help . b ' : ? _ word _ , need help . context where really need help , s / n't bother s / can't help b ' . 's hand full parcel visibly need help , s / s / can't help b ' , possibility b ' need help . however , insult comment , b ' actually imply can't help , capable person . , one need help . another completely mislead example inference follow . ( 4 ) : sorry , can't help , ' m busy . b : * _ word _ , ' re busy . unacceptability b 's word _ ' m busy _ , where already speak own implicature c . mere repetition cannot allow iow 's case . something extra imply b 's response , type ( 4 ) ok . ( 5 ) : sorry , can't help . b : _ word _ , can't . ( - ) ' really can't . ' ) summary , utterance "" . word , b "" inferential process / hearer 's interpretive process "" $ @ "" * ( jc ; word c $ @ ! ( jb "" . iow campare 's o ' ' , ' etc . follow result above contributor ' reaction . ( * ) means judge sentence acceptable unacceptable . ' ' : $ @ ! ! ( j ( 6 ) . $ 5 wallet . { _ _ / ( * ) _ word _ } n't spend money . b . 's teacher . { _ _ / ( * ) _ word _ } must respect . $ @ ! ! ( j ( 7 ) play french horn . : anyway , horn funny noise . { _ _ / ( * ) _ word _ } 's treacherous instrument , n't ? 's something hard control . why ? too much spit , ? b : ' m glad ' ve term . 's difficult . treacherous . player , course . 's another story . $ @ ! ! ( j ( 8 ) tom eat condemn meat . { _ _ / * _ word _ } feel ill . $ @ ! ! ( j ( 9 ) bill insult mary . { _ _ / _ word _ } leave . contrast resultative 's o 's ' ( 6 ) ( 7 ) , two 's o 's ' ( 8 ) ( 9 ) sequential . case iow , one ok . ( 9 ) interpret bill 's insult mary alway lead leave ( here ) , iow permit . iow ( 8 ) n't ok eat condemn meat alway equal feel ill , case iow situation redundant / meaningless / uninformative . ' ' : $ @ ! ! ( j ( 10 ) insurance man visit girl . bring policy application signature . talk husband . girl : ' m expect robert home soon . insurance salesman : oh ! why ? is trouble ? g : . 's set business own . is : oh , . g : 's idea ? is : ye , why ? g : small business bust over place . is : , million dole right safe secure work someone else . { _ _ / _ word _ / ( * ) _ _ } , 's . 's nothing else lose anyway . g : ? is : ye . ' case ' : $ @ ! ! ( j ( 11 ) : ' m afraid n't much help . b : { _ case _ / ( * ) _ word _ } shall ask someone else . ' ' : $ @ ! ! ( j ( 12 ) refreshments , { _ _ / * _ word _ } , sand - witch , coffee , beer , fruit juice , chocolate . ball ( 1986 ) explain ' ' open-end iow close - end . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * further comment analyisis iow above , please n't hesitate e-mail . thank much help . sincerely , hiroakus tanaka associate professor , tokushima university , japan . e-mail : gca01363 @ niftyserve . . jp
",no
"Subject: query : chinese grammatical markers

' m interest information regard diachronic development follow grammatical marker various chinese language ( apology email-mutilate transcription ) : ( 1 ) mandarin : [ de ] ( "" genitive "" / "" relative "" marker ) ( 2 ) mandarin : [ ge ] ( general numeral classifier ) ( 3 ) shanghainese : [ ge ] ( "" genitive "" / "" relative "" marker ) ( 4 ) hokkien : [ e ] ( ) ( "" genitive "" / "" relative "" marker ) ( b ) ( general numeral classifier ) ( 5 ) teochew : [ kaus ] ( ) ( "" genitive "" / "" relative "" marker ) ( b ) ( general numeral classifier ) ( 6 ) cantonese : [ ge ] ( "" genitive "" / "" relative "" marker ) [ ] ( general numeral classifier ) [ dik ] ( ligature ) specifically : question 1 : above marker historically / etymologically relate , ie . derive diachronically reconstructable common source ? ( eg . mandarin [ de ] cantonese [ dik ] diachronically relate ? , etc . etc . ) question 2 : ( specific hokkien teochew ) most native speaker hokkien teochew , speaker mandarin , opinion two distinct marker exhibit accidental homophony : "" genitive "" / "" relative "" [ e ] / [ kaus ] correspond mandarin [ de ] , "" classifier "" [ e ] / [ kaus ] correspond mandarin [ ge ] . question 2a : is demonstrably case [ e ] [ kaus ] respective product diachronic coalescence distinct form earlier stage language ? question 2b : are valid synchronic argument posit two distinct lexical item , ie . two [ e ] 's hokkien , two [ kaus ] 's teochew ? ( consider choice character conventionally represent marker irrelevant . ) note : general linguist , sinologist , n't read speak chinese . greatly appreciate either own view above question , reference publish work address question . however , reference happen chinese , extremely grateful provide synopsis contents . thank , david gil national university singapore ellgild @ nusvm . bitnet
",no
"Subject: isfc95 computational section

announcement - - - - - - - - - - - - computational section / workshop 22nd international systemic - functional congress beij , china 18-22 july 1995 involvement systemic functional linguistic computational application grow point beneficiary stock various ongo activity . number interest problem arise one systemic functional theory natural language process ( nlp ) . goal section researcher systemic functional theory ( aspect ) nlp application chance talk issue common interest , introduce approach particular problem ( perhap ) work solution together . idea organize section mixture talk extensive discussion . turn really burning issue , possible workshop tailor particular topic . interest participate - please fill attach form e-mail back ( teich @ darmstadt . gmd . de ) . - want talk introduce topic discussion workshop , please e-mail abstract 1 - 2 page ( teich @ darmstadt . gmd . de ) . abstract include title , name affiliation , list reference indication intend ( talk , topic discussion workshop ) . please send abstract , already send abstract general call papers isfc95 . , anybody else interest participate , please forward mail . deadline submission suggestion 15th february 1995 . general information conference please send mail : egterenc @ hkpcc . hkp . hk - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - name : affiliation : address ( inlcude e-mail ) : topics work : topics discuss : - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
",no
"Subject: query raise / aw / / ay / alias "" canadian raise ""

query address those linguists speak dialect [ aw ] [ ay ] replace something [ / \ w ] [ / \ y ] word ' type ' ' write ' . different vowel first syllable ' writer ' second syllable ' typewriter ' ? , put another , different vowel first second syllable ' typewriter ' ?
",no
"Subject: re : 6 . 100 sum : ipa history & hacek ,

stemberger suggest north american linguist hacek follow tradition international international phonetic association , label western european organization . even cursory glance ipa membership list show ipa international body , many north american member . govern elect council , over half member outside western europe , several council unite state , eastern europe ( poland russium ) , china , japan , australium , finland , south africa , nigerium . north american linguist diverse symbol follow truly international convention . , let happen agree appropriate hacek palato-alveolar sound . hacek diacritic mark natural class sound . propose 1989 kiel convention ipa , vote down conservative colleague , consider important keep ipa stable possible . point view , prefer mine . nevertheless point democratically approve international standard unless one keep , reluctantly avoid hacek . peter ladefoge
",no
"Subject: wkshp : * early * - e ( = ) uralic interaction

organize combination colloquium work seminar plan place oulu finland after jyvaskylum 8th internat ' l fenno - ugric congress ( fu8 run thru 15 august ' 95 ) . entitle "" ( s ) north , "" gather intend convoke roughly 30-40 scholar discuss archaeological , bioanthropological , ethnographic ( include comparative myth / religion / folkway etc ) , * linguistic * datum , concept , method inter-relate bear question development sundry scandinavium , fenno - karelium , northwest russium , northern circum - ural . gather aid idea exchange among specialist domain pertinent reconstruction ( pre ) historical event process involve ( s ) region . those each speciality require speak ignorance , . e . , prepare discuss * * already , point really * * those speciality . aim avoid presentation set-piece foment exploration many possible each various ( pre ) historical discipline feed . collaborator venture ( norbert strade , historically archaeologically incline linguist , aarhus dk ; milton nunez , ethnologically geographically incline archaeologist oulu ) long list probable participant . however , feel distinct under - representation regards indo - europeanist linguistics . those - eist our acquaintance interest pre - - e substrate effect northern europe , possible early - e f - u interaction north ( elsewhere ) , intrigue theme relevance our plan , cannot oulu august . thus send request . anyone interest , please contact . nb - frame us begin repopulation north ice age retreat , hence less 10 , 000bp . discussion - e ( = ) uralic interaction / relation ground posit macro-family &c root ` deep ' therefore fall outside scope our plan . hope hear . ken jacob voice : ( 514 ) 343-6490 [ office ] assoc . prof . ( 514 ) 685-2349 [ home ] departement d ' anthropologie fax : ( 514 ) 343-2494 universite de montreal e-mail : jacobsk @ ere . umontreal . ca cp 6128 / succ . centre - ville montreal pq h3c 3j7 canada
",no
"Subject: bloomfield

dear fellow linguist , student graduate institute taichung , taiwan . specially interest austronisian language . presently , research yamus language orchid island . however , develope great interest life work leonard bloomfield , too . learn example own study research . easy material bloomfield 's personality , contribution , background , work . doe anyone idea proceed material relate ? thank much . amy wang
",no
"Subject: base generate adjunct

doe anyone reference mechanism encode restriction base generation adjunct gb ( . e why adverb occur predicate adjective referential ) ? seem can't selection x - - bar theory appropriate set restriction . reference lovely , recent one . post directly & ' ll post summary list 's interest . david adger adger @ uk . ac . ed . cogscus
",no
"Subject: sum : verbal / pronominal feature difference

earlier month post follow query : = = = = = = = = = = = = = = = = = = = = = = language ( ) , where distinction carry verbal morphology cannot indicate pronominal system ? ( example , language express gender difference verb , pronoun ) . = = = = = = = = = = = = = = = = = = = = = = follow kindly reply various piece useful information : antton elosegus aldasoro ( fvpelalum @ sd . ehu . e ) ariel mira ( mariel @ ccsg . tau . ac . il ) "" ellen l . continus - morava "" ( elc9j @ faraday . cla . virginium . edu ) simon corston ( corston @ humanita . ucsb . edu ) brian d joseph ( bjoseph @ magnus . ac . ohio-state . edu ) june wickboldt : jwickbol @ uc . indiana . edu here reply : two most promise example ask basque hebrew , where pronominal verbal system match gender : - - - - - - - - - - - - - - - - - - - - - - - antton elosegus aldasoro ( fvpelalum @ sd . ehu . e ) basque gender noun pronoun , verbal form carry distinction gender 2nd person nik ekarrus diat nik ekarrus dinat ( erg ) you-masc ( erg ) you-fem antton elosegus ( university basque country ) ariel mira ( mariel @ ccsg . tau . ac . il ) own hebrew "" normal "" verbal inflection ( past future ) distinguish person gender number 2nd 3rd person , number 1st person . far , free pronominal system . however , our present tense morphologically nominal form ( eg . holexet = ' walk ( fem ) ' ' walker ( fem ) ' . , our nominal form , nothing pronominal form inflect number gender , distinguish person . result 1st person present inflection distinguish between fem masc though independent pronoun . modern hebrew lose gender distinction too ! 1 . future tense 3rd per plural : fem form hardly ever . even purist language academy "" abolish "" form . ( n't seem ever past tense ) . 2 . colloquial speech , same happen 2nd person , doubt 2nd 3rd person plural fem form identical ( though masc one converge ) . 3 . need check ! free plural feminine pronoun , past inflection same seem shake . real datum record , n't much . wonder whether mix form possible , namely , you-fem + masc , etc . * theoretical note * : hopefully few example , believe ( hundr ) inflection tend develop free pronoun . hence , dependence between meaning encode , though principle reason inflection change later , guess . really unlikely , though , once form inflect , fuse verb , chance win develop separate semantics . ' re interest theory development inflection pronoun , own , account well-known fact inflection 1st 2nd person much prevalent 3rd person . claim 3rd person unmark , rather , since referent 3rd person usually much less accessible referent 1st 2nd person ( speaker addressee ) . minimal form reserve accessible referent ( general ) , hence inflection natural development free pronoun highly accessible antecedent . book ' access np antecedent ' , routledge , 1990 , chapter 6 . - - - - - - - - - - - - - - - - - - - - - - - follow two respondent quote case where logophoric obviative mark occur attach verb rather pronoun refer . , seem particle inflection , though sure exactly classify . - - - - - - - - - - - - - - - - - - - - - - - june wickboldt : jwickbol @ uc . indiana . edu language logophoric reference mark reference verbal affix , pronoun pronominal . two newarus , karen ebert . 1986 . report speech language nepal . f . coulma ( ed . ) direct indirect speech , berlin : mouton de gruyter , gokana , hyman , larry m . bernard comrie . 1981 . logophoric reference gokana . journal african language linguistic . 3 : 19-37 . brian d joseph ( bjoseph @ magnus . ac . ohio-state . edu ) algonquian language cree , speak canada , category literature "" obviative "" , provide distinguish between different third-person discourse ( first one mention "" proximate "" , next one mention "" obviative "" , cree distinguish unambiguously between "" john meet bill walk down street "" where rhe "" english refer either john bill - - cree unambiguously one ) . most part , where relevant , mark show verb ( thus verb form above sentence different john walk bill walk ) ; noun show obviative / proximate mark ( though one class , so-cal "" inanimate "" noun ) , proximate obviative form demonstrative pronoun , personal pronoun . thus "" wus : ya "" ' / proximate ' ' / obviative ' . pronoun usually express cree , personal pronoun , cree language sort . matter , fact similar virtually algonquian language , n't cree . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - finally , two respondent note independent pronoun necessarily mark case same pronominal affix . phenomenon seem rare ( e . g . arabic same ) . assume case mark . - - - - - - - - - - - - - - - - - - - - - - - "" ellen l . continus - morava "" ( elc9j @ faraday . cla . virginium . edu ) swahilus part verb morphology subject object prefix , signal info . participant role respect action verb . distinction among independent pronoun , distinguish person number . since subject object prefix swahilus often call "" pronominal "" , n't count distinction can't pronoun . simon corston ( corston @ humanita . ucsb . edu ) ma , press pacific linguistic sery anu , discuss ' ergativity roviana ' . roviana special pronominal form absolutive ( s ( 's ubject intr ' ) o ( ' object ' ) ) , different form ( 's ubject tr ' ) . pronoun distinction person , number , incl / ecl 1pl . pronominal verbal affix verb alway o . . e . wherea independent pron n't distinguish s / o , pronominal affix . somewhere around here brief sketch roviana send . - - - - - - - - - - - - - - - - - - - everything interest , happy receive info query above . thank again those respond ! maik gibson university read
",no
"Subject: linguist

dear subscriber : announce number feature linguist request help establish web-searchable directory linguist . initiate latter , set submission form our website : http : / / linguistlist . org / cgi-bin / per . cgus ask access form submit information request affiliation , address , research teach interest . form accessible directory page : http : / / linguistlist . org / persop . html datum collect shortly keyword - field-searchable , able directory , e . g . , linguist sweden teach discourse , american linguist psychology department , information specific linguist . linguist submit information ask choose password update information periodically . linguist list data-collection effort , however , success directory depend cooperation . many linguist submit information , useful resource . please enter information professional interest , spread word among colleague . call attention linguist service web-site improvement : 1 ) ask - - linguist service operation . ' ve please public response ( receive question even before announce officially ) quality panel 's answer impressive . "" review past question answer "" url http : / / linguistlist . org / ask . html yourself . 2 ) month back put place homepage , contain link linguist list datasource . tell us 's useful link everything single page , helpful information link . write "" index page "" each subcategory , e . g . , profession , research research support , publication , pedagogy . click one header linguist homepage , access index page offer fuller description link resource each category , cross-listing category . please index page currently available : usa : http : / / linguistlist . org / http : / / www . emich . edu / ~ linguist / http : / / linguist . tamu . edu / linguist / western europe : http : / / www . sf . nphil . uni-tuebingen . de / linguist / russium : http : / / www . philol . msu . ru / linguist / appreciate comment suggestion improvement . 3 ) year-by - index job announcement post linguist . access vium our homepage directly : http : / / linguistlist . org / jobsindex . html http : / / www . emich . edu / ~ linguist / jobsindex . html http : / / linguist . tamu . edu / linguist / jobsindex . html http : / / www . sf . nphil . uni-tuebingen . de / linguist / jobsindex . html http : / / www . philol . msu . ru / linguist / jobsindex . html job listing display either chronological reverse chronological order . 4 ) , finally , set topic page altaic . : http : / / www . emich . edu / ~ linguist / topic / altaic / http : / / linguistlist . org / topic / altaic / http : / / linguist . tamu . edu / linguist / topic / altaic / http : / / www . sf . nphil . uni-tuebingen . de / linguist / topic / altaic http : / / www . philol . msu . ru / linguist / topic / altaic suggestion material enhance usefulness page ( e . g . , bibliography reference list , short article altaic , map ) , grateful . hope innovation linguist useful . - helen , anthony , daniel linguist moderator
",no
"Subject: sum : linguistic imperialism

two weak ago post question whether linguistics 's origin imperialistic efford . point case arabic grammar , latin sanskrit . ( sanskrit case quite obviously fit ) o . k . , put provokative fashion , formulate sharply really mind . reaction vivid . case indium ( sanskrit ) : point sanskrit case concern preserve "" correct "" language danger bee lose otherwise religious text unreadable . ( michael newman , karl v . teeter , mechthild reh , european case : generally , intention emancipation latin / own country status respectable roman empire . ( michael newman , mechthild reh ) spanish : first grammar publish 1492 , before concest america , fall kingdom granada . ( michael newman ) nynorsk : rise conception nynorsk ( landsmaal ) norway 1800 part nationalist reaction danish rule ( imperialism ) . 's long story , nynorsk never succeed dominate norway , ' m afraid . ( jon hareide aarbakke ) linguistic emancipatory efford : ( mechthild reh , gupta below , ) term "" imperialistic "" : > inappropriate term > "" imperialist "" sense once conquest > subjugation > perhap somewhat unethical . > one speak , > term anachronistic . ( michael newman ) are linguist imperialist ? several ask wheather direction . certainly n't ! ! linguistic help answer lot question ( greek sophistic tradition ) . question linguistic attempt suddenly bee successful national level . thus , idea refer linguistics bee ( mi ) bee evil . ( actually , ' m linguist ) . general aggreement : > grammar book english > 18th century , together early dictionary , > most insecurity > middle-class english speaker face language > latinise . interestingly , > british venture indium north america > coincide period . ( ' m afraid n't > really actual date , ' m > memory . ) > peter tan however , anthea fraser gupta point , > spenny ( 18c orthoepist ) millenarian early socialist . believe > everyone pronounce correctly , social discrimination base accent > disappear everyone equal . millenium > , etc . > seem general , condition favor imperialism > society favor growth kind study > society - - society afford work expansion > afford support function intellectual . > > 's natural society through imperialistic > phase , kind resource exist society bend > purpose support imperialist expansion . marion kee > 'd hear theory prescriptionist grammar arise unite > state reclaim diminish boundry between > social class . idiolect today certainly reflect social class , > curious early work . early english > grammar much reference religion past glory > language / english guess . 1700 's , > appear justification well-construct language > language ( 1 ) hommage god , since most early > grammarian > apparently believe language divine gift > separate man beast , ( 2 ) earlier idea latin > greek near-perfectly construct language shift over > english ; believe proper care english succeed nearly > perfect , effort must continue . tom mcclive > science > develop , state alway want imperialistic > . origin _ per se _ science imp . first > ( oldest still observe , least ) > state . marc . belanger tip further read : pennycook , alastair . 1989 . concept method , interest knowledge , politic language teach . tesol quarterly 23 : 589 . transaction philological society 1974 , 33-64 ( under name anthea frser shields ) university chicago press , _ politic linguistic _ .
",no
"Subject: re : word own opposite

content - length : 129 pair synonym one sense antonym another - - outgo : retire mary s . neff ibm research
",no
